Genus,Species,Transect,Day,Mo,Year,ampm,Time,sex,SVL,Mass
Oxybelis,brevirostris,Aguadulce,28,2,2007,,,1,60.7,27.3
Oxybelis,brevirostris,Aguadulce,27,3,2007,,10:03:00 PM,2,57.9,18.2
Imantodes,cenchoa,Aguadulce,27,3,2007,,10:20:00 PM,1,65.3,11.0
Bothriechis,schlegelii,Aguadulce,28,2,2007,,,2,24.9,4.8
Oxybelis,brevirostris,Cabin,24,10,2006,,8:20:00 PM,1,81.9,23.6
Oxyrhopus,petolarius,Cabin,23,7,2007,,,2,70.8,84.2
Sibon,argus,Cascada,22,5,2001,2,2030,0,27.0,1.6
Sibon,argus,Cascada,1,7,2001,2,2123,0,,
Oxybelis,brevirostris,Cascada,8,6,2001,,2210,0,,
Oxybelis,brevirostris,Cascada,15,6,2001,2,2242,0,,
Oxybelis,brevirostris,Cascada,25,6,2001,,2140,0,,
Oxybelis,brevirostris,Cascada,25,6,2001,,2242,0,,
Imantodes,cenchoa,Cascada,25,6,2001,,2145,0,,
Imantodes,cenchoa,Cascada,13,7,2001,,2103,0,,
Sibon,argus,Cascada,2,6,2002,2,2114,0,37.0,8.0
Sibon,argus,Cascada,17,6,2002,2,2040,0,,
Sibon,argus,Cascada,27,7,2002,,2228,0,,
Sibon,argus,Cascada,4,8,2002,2,2059,0,39.0,7.8
Geophis,bellus,Cascada,19,7,2002,2,2155,0,,
Oxybelis,brevirostris,Cascada,27,7,2002,,2208,0,37.5,8.5
Imantodes,cenchoa,Cascada,27,7,2002,,2222,0,,
Clelia,clelia,Cascada,29,6,2002,2,2258,0,,
Clelia,clelia,Cascada,27,7,2002,,2228,0,,
Rhadinaea,decorata,Cascada,1,6,2002,,1116,0,26.0,11.5
Rhadinaea,decorata,Cascada,3,8,2002,,1048,0,20.5,5.7
Sibon,argus,Cascada,20,5,2003,,2050,0,41.0,12.3
Sibon,argus,Cascada,10,6,2003,2,2058,1,18.2,
Sibon,argus,Cascada,7,7,2003,,1959,0,43.5,15.5
Sibon,argus,Cascada,7,7,2003,,2140,0,32.0,7.1
Sibon,argus,Cascada,28,9,2003,,2329,0,41.0,10.2
Sibon,argus,Cascada,19,10,2003,,2007,0,44.0,14.0
Oxybelis,brevirostris,Cascada,20,5,2003,,2137,0,32.0,
Oxybelis,brevirostris,Cascada,7,7,2003,,2140,0,37.0,7.4
Oxybelis,brevirostris,Cascada,7,7,2003,,2204,0,60.0,26.6
Imantodes,cenchoa,Cascada,25,5,2003,2,2035,1,79.0,35.1
Imantodes,cenchoa,Cascada,2,6,2003,,2000,0,79.0,32.8
Imantodes,cenchoa,Cascada,2,6,2003,,2305,2,82.0,28.4
Sibon,argus,Cascada,25,4,2004,,2246,0,35.5,
Sibon,argus,Cascada,19,5,2004,2,2036,2,43.5,
Oxybelis,brevirostris,Cascada,5,3,2004,2,2321,0,,
Oxybelis,brevirostris,Cascada,23,11,2004,,2124,0,,
Sibon,longifrenis,Cascada,25,4,2004,2,2139,2,43.0,
