Genus,Species,Transect,Day,Mo,Year,ampm,Time,SVL,Mass
Imantodes,cenchoa,Main Trail,29,12,1997,,2032,,
Clelia,clelia,Main Trail,31,12,1997,,1954,,
Imantodes,cenchoa,Main Trail,13,1,1998,,2120,,
Oxybelis,brevirostris,Guabal,14,1,1998,,2105,,
Sibon,argus,Guabal,14,1,1998,,2122,,
Sibon,argus,Guabal,14,1,1998,,,10,
Sibon,argus,Guabal,14,1,1998,,,,
Sibon,argus,Guabal,15,1,1998,,2115,,
Sibon,annulatus,Guabal,7,6,1998,,2120,100,
Sibon,argus,Guabal,7,6,1998,,,,
Sibon,argus,Guabal,7,6,1998,,,,
Sibon,argus,Guabal,7,6,1998,,,,
Imantodes,inornatus,vaLoop Stream ditch,8,6,1998,,2045,,
Sibon,argus,Main Trail,22,6,1998,,2018,,
Dendrophidion,percarinatum,Guabal,23,6,1998,,835,,
Chironius,grandisquamis,Guabal,23,6,1998,,1007,150,
Dendrophidion,percarinatum,Guabal,24,6,1998,,955,,
Dendrophidion,percarinatum,Guabal,24,6,1998,,,,
Imantodes,inornatus,Main Trail,25,6,1998,,2225,,
Sibon,argus,Loop Stream,26,6,1998,,2140,,
Sibon,argus,Guabal,23,11,1998,,2010,,
Liophis,epinephalus,Guabal,25,11,1998,,943,,
Leptophis,ahaetulla,Guabal,25,11,1998,,2105,,
Imantodes,cenchoa,Guabal,25,11,1998,,2142,,
Sibon,argus,Guabal,27,11,1998,,2030,,
Sibon,annulatus,Guabal,27,11,1998,,2105,,
Leptophis,ahaetulla,str-rancho trail,30,11,1998,,2115,,
Leptophis,depressirostris,Main Trail,7,7,1999,,2100,,
Rhadinaea,decorata,Main Trail,7,7,1999,,2125,,
Sibon,annulatus,Loop Trail,9,7,1999,2,2100,,
Rhadinaea,decorata,Loop Stream,10,7,1999,,1016,,
Leptophis,depressirostris,Loop Stream,10,7,1999,,1030,,
Sibon,argus,Guabal,11,7,1999,,1957,,
Imantodes,cenchoa,Guabal,11,7,1999,,2123,,
Sibon,argus,Guabal,11,7,1999,,2149,,
Leptodeira,septentrionalis,Main Trail,12,7,1999,,2029,,
Leptophis,depressirostris,Loop Stream,14,7,1999,2,2157,,
Rhadinaea,decorata,Loop Stream,14,7,1999,,1012,24.5,7.8
Sibon,annulatus,Loop Stream,14,7,1999,,2221,50,25
Pliocercus,euryzona,Guabal,15,7,1999,,2121,,
Sibon,annulatus,Road to OTNP,23,7,1999,,1949,43,22.3
Sibon,argus,Loop Stream,24,7,1999,,2038,46,13
Chironius,grandisquamis,Loop Trail,25,7,1999,,936,100,
Bothriechis,schlegelii,Guabal,28,7,1999,1,1155,,
Sibon,argus,Loop Stream,4,8,1999,,2132,,8
Imantodes,cenchoa,Loop Stream,4,8,1999,,2150,73,19
Leptophis,depressirostris,Loop Trail,5,8,1999,,2115,64,22.5
Imantodes,cenchoa,Main Trail,6,8,1999,2,1952,47,5.8
Sibon,argus,Guabal,18,5,2000,,2004,42.5,10.1
Rhadinaea,decorata,Main Trail,18,5,2000,,,22.5,6
Imantodes,cenchoa,Main Trail,19,5,2000,,,63,16.5
Sibon,argus,Silenciosa,20,5,2000,,2001,25.5,2.2
Rhadinaea,decorata,Seep Stream,21,5,2000,,,23,7
Rhadinaea,decorata,Connector trail,24,5,2000,,1011,16,2.1
Leptodeira,septentrionalis,Main Trail,25,5,2000,,2110,43.5,18.5
Imantodes,cenchoa,Silenciosa,27,5,2000,,2115,70,14.3
Sibon,longifrenis,Loop Trail,28,5,2000,,2049,,
Sibon,argus,Guabal,29,5,2000,,2044,40,9.5
Sibon,argus,Guabal,29,5,2000,,2152,,
Imantodes,cenchoa,Main Trail,31,5,2000,,2140,,
Sibon,argus,Loop Stream,1,6,2000,,2132,,
Sibon,argus,Silenciosa,2,6,2000,,2010,25,
Pliocercus,euryzona,Silenciosa,2,6,2000,,2037,,
Leptophis,depressirostris,Qbda JaJa,24,7,2000,,1036,38,6.1
Sibon,argus,Guabal,24,7,2000,,2124,27,2.8
Sibon,argus,Guabal,24,7,2000,,2205,38.5,10.1
Sibon,annulatus,Fenomenal,26,7,2000,,2230,,
Sibon,argus,Silenciosa,27,7,2000,,2028,,
Pliocercus,euryzona,Silenciosa,27,7,2000,,2100,,
Sibon,annulatus,Silenciosa,27,7,2000,,2121,22,
Bothrops,asper,Silenciosa,27,7,2000,,2150,,
Leptophis,depressirostris,Loop Stream,29,7,2000,2,2256,,
Rhadinaea,decorata,Qbda JaJa,29,7,2000,,1058,23,8.6
Rhadinaea,decorata,Qbda JaJa,29,7,2000,,1200,23.5,8.6
Rhadinaea,decorata,trail to JaJa,29,7,2000,,,25,10.1
Leptophis,depressirostris,Qbda JaJa,30,7,2000,,2125,30.5,4.9
Sibon,argus,Main Trail,31,7,2000,2,2052,,
Rhadinaea,decorata,Guabal,1,8,2000,1,1100,,
Imantodes,cenchoa,Verrugosa,1,8,2000,,2045,63.5,13.4
Pliocercus,euryzona,Silenciosa,2,8,2000,,2150,,
Imantodes,cenchoa,Guabal,4,8,2000,,2120,,
Sibon,argus,Guabal,4,8,2000,,2145,39.5,15.5
Imantodes,cenchoa,Loop Trail,5,8,2000,2,2022,58,12.3
Imantodes,cenchoa,Loop Trail,5,8,2000,2,2235,72,13.3
Leptophis,depressirostris,Fenomenal,6,8,2000,,2045,,
Leptophis,depressirostris,Fenomenal,6,8,2000,,2138,34.5,4
Sibon,annulatus,Fenomenal,6,8,2000,,2151,27,2.7
Leptophis,depressirostris,Loop Stream,9,8,2000,,1955,,
Sibon,argus,Loop Stream,9,8,2000,,2115,36,6.5
Rhadinaea,decorata,Qbda JaJa,10,8,2000,,1205,,
Imantodes,cenchoa,Verrugosa,10,8,2000,,2115,,
Leptophis,ahaetulla,Guabal,13,8,2000,1,,71,
Sibon,argus,Loop Stream,18,5,2001,,2050,33,11.8
Sibon,argus,Loop Stream,18,5,2001,,2253,36,14.3
Sibon,argus,Silenciosa,21,5,2001,,2100,43,14
Sibon,argus,Cascada,22,5,2001,2,2030,27,1.6
Oxybelis,brevirostris,Loop Trail,27,5,2001,,2057,33,
